,Quarter,Tm,Detail,NYG,BKN
0,2.0,Giants,Art Lewis 32 yard fumble return (Tillie Manton kick),7,0
1,2.0,Giants,Tuffy Leemans 5 yard rush (Tillie Manton kick),14,0
