,Quarter,Tm,Detail,NWE,BUF
0,1.0,Patriots,Stephen Starring 65 yard pass from Steve Grogan (Tony Franklin kick),7,0
1,1.0,Patriots,Derrick Ramsey 3 yard pass from Steve Grogan (Tony Franklin kick),14,0
2,2.0,Patriots,Tony Collins 4 yard rush (Tony Franklin kick),21,0
3,2.0,Bills,Joe Danelo 27 yard field goal,21,3
4,3.0,Bills,Preston Dennard 8 yard pass from Joe Ferguson (Joe Danelo kick),21,10
5,4.0,Bills,Tony Hunter 9 yard pass from Joe Ferguson (Joe Danelo kick),21,17
