,Quarter,Time,Tm,Detail,SEA,WAS
0,1.0,9:57,Redskins,Evan Royster 4 yard pass from Robert Griffin III (Kai Forbath kick),0,7
1,1.0,2:26,Redskins,Logan Paulsen 4 yard pass from Robert Griffin III (Kai Forbath kick),0,14
2,2.0,12:05,Seahawks,Stephen Hauschka 32 yard field goal,3,14
3,2.0,4:38,Seahawks,Michael Robinson 4 yard pass from Russell Wilson (Stephen Hauschka kick),10,14
4,2.0,0:00,Seahawks,Stephen Hauschka 29 yard field goal,13,14
5,4.0,7:08,Seahawks,Marshawn Lynch 27 yard rush (Zach Miller pass from Russell Wilson ),21,14
6,4.0,5:32,Seahawks,Stephen Hauschka 22 yard field goal,24,14
