,Quarter,Tm,Detail,FRN,CLE
0,1.0,Yellow Jackets,Two-Bits Homan 70 yard punt return,6,0
1,4.0,Yellow Jackets,Ben Jones 3 yard rush (Tex Hamer kick),13,0
2,4.0,Bulldogs,Doc Elliott 1 yard rush (Doc Elliott kick),13,7
