,Quarter,Tm,Detail,CHI,TAM
0,1,Bears,Walter Payton 1 yard rush (Bob Thomas kick),7,0
1,2,Bears,Dave Williams 13 yard pass from Mike Phipps (Bob Thomas kick),14,0
