,Quarter,Tm,Detail,TAM,SDG
0,1.0,Chargers,Marion Butts 1 yard rush (John Carney kick),0,7
1,2.0,Chargers,Anthony Miller 31 yard pass from Billy Joe Tolliver (John Carney kick),0,14
2,2.0,Buccaneers,Mark Carrier 68 yard pass from Chris Chandler (Steve Christie kick),7,14
3,2.0,Chargers,John Carney 28 yard field goal,7,17
4,2.0,Chargers,Marion Butts 2 yard rush (John Carney kick),7,24
5,3.0,Buccaneers,Steve Christie 48 yard field goal,10,24
6,4.0,Chargers,Rod Bernstine 20 yard rush (John Carney kick),10,31
7,4.0,Chargers,John Carney 27 yard field goal,10,34
8,4.0,Chargers,Marion Butts 5 yard rush (John Carney kick),10,41
