,Quarter,Tm,Detail,SFO,PHI
0,1.0,49ers,Roger Craig 35 yard pass from Matt Cavanaugh (Ray Wersching kick),7,0
1,2.0,Eagles,Paul McFadden 35 yard field goal,7,3
2,2.0,Eagles,Paul McFadden 32 yard field goal,7,6
3,2.0,49ers,Freddie Solomon 2 yard pass from Matt Cavanaugh (Ray Wersching kick),14,6
4,3.0,Eagles,Paul McFadden 33 yard field goal,14,9
5,4.0,49ers,Dwight Clark 51 yard pass from Matt Cavanaugh (Ray Wersching kick),21,9
