,Quarter,Tm,Detail,PHI,MIA
0,1,Dolphins,Tony Martin 28 yard pass from Dan Marino (Pete Stoyanovich kick),0,7
1,1,Dolphins,Pete Stoyanovich 24 yard field goal,0,10
2,2,Eagles,Keith Byars 3 yard pass from Randall Cunningham (Roger Ruzek kick),7,10
3,2,Eagles,Roger Ruzek 53 yard field goal,10,10
4,3,Eagles,Roger Ruzek 33 yard field goal,13,10
5,4,Eagles,Calvin Williams 45 yard pass from Randall Cunningham (Roger Ruzek kick),20,10
6,4,Dolphins,Mark Duper 6 yard pass from Dan Marino (Pete Stoyanovich kick),20,17
7,4,Dolphins,Pete Stoyanovich 34 yard field goal,20,20
8,OT,Dolphins,Pete Stoyanovich 34 yard field goal,20,23
