,Quarter,Tm,Detail,NYG,BKN
0,2.0,Tigers,Rocky Uguccioni 12 yard blocked punt return (Bruiser Kinard kick),0,7
1,2.0,Giants,Frank Liebel 26 yard pass from Hank Soar (Ken Strong kick),7,7
2,4.0,Giants,Neal Adams 35 yard pass from Hank Soar (Ken Strong kick),14,7
