,Quarter,Time,Tm,Detail,CHI,STL
0,1.0,,Rams,Jerald Moore 1 yard rush (Jeff Wilkins kick),0,7
1,2.0,,Bears,Curtis Conway 55 yard pass from Erik Kramer (Jeff Jaeger kick),7,7
2,4.0,,Rams,Jeff Wilkins 26 yard field goal,7,10
3,4.0,,Bears,Jeff Jaeger 27 yard field goal,10,10
4,4.0,,Bears,Jeff Jaeger 21 yard field goal,13,10
