,Quarter,Tm,Detail,KAN,CLE
0,2.0,Chiefs,Stephone Paige 26 yard pass from Todd Blackledge (Nick Lowery kick),7,0
1,2.0,Browns,Earnest Byner 16 yard pass from Bernie Kosar (Matt Bahr kick),7,7
2,3.0,Browns,Ozzie Newsome 6 yard pass from Bernie Kosar (Matt Bahr kick),7,14
3,3.0,Browns,Matt Bahr 34 yard field goal,7,17
4,4.0,Browns,Matt Bahr 36 yard field goal,7,20
