,Quarter,Tm,Detail,NYG,WAS
0,1.0,Giants,Johnny Perkins 28 yard pass from Scott Brunner (Joe Danelo kick),7,0
1,2.0,Redskins,Mark Moseley 20 yard field goal,7,3
2,2.0,Giants,Butch Woolfolk 1 yard rush (Joe Danelo kick),14,3
3,3.0,Redskins,Joe Washington 22 yard rush,14,9
4,4.0,Redskins,Mark Moseley 31 yard field goal,14,12
5,4.0,Redskins,Mark Moseley 42 yard field goal,14,15
