,Quarter,Tm,Detail,SFO,CHI
0,3.0,Bears,George Blanda 1 yard rush (George Blanda kick),0,7
1,3.0,49ers,R.C. Owens 30 yard pass from Y.A. Tittle (Gordie Soltau kick),7,7
2,3.0,49ers,Clyde Conner 33 yard pass from Joe Arenas (Gordie Soltau kick),14,7
3,4.0,Bears,Rick Casares 2 yard rush (George Blanda kick),14,14
4,4.0,Bears,George Blanda 17 yard field goal,14,17
5,4.0,49ers,R.C. Owens 7 yard pass from Y.A. Tittle (Gordie Soltau kick),21,17
