,Quarter,Tm,Detail,TAM,GNB
0,1.0,Packers,Gerry Ellis 7 yard rush (Jan Stenerud kick),0,7
1,2.0,Buccaneers,Jimmie Giles 5 yard pass from Doug Williams (Bill Capece kick),7,7
2,3.0,Buccaneers,Doug Williams 1 yard rush (Bill Capece kick),14,7
3,3.0,Buccaneers,James Wilder 1 yard rush (Bill Capece kick),21,7
4,4.0,Packers,Jan Stenerud 34 yard field goal,21,10
