,Quarter,Tm,Detail,CHI,RAM
0,1.0,Rams,Tony Zendejas 29 yard field goal,0,3
1,2.0,Rams,Tony Zendejas 29 yard field goal,0,6
2,2.0,Bears,Kevin Butler 27 yard field goal,3,6
3,4.0,Rams,Troy Drayton 11 yard pass from T.J. Rubley (Tony Zendejas kick),3,13
4,4.0,Bears,Kevin Butler 53 yard field goal,6,13
5,4.0,Rams,Jerome Bettis 4 yard rush (Tony Zendejas kick),6,20
