,Quarter,Tm,Detail,NWE,NOR
0,3.0,Saints,Morten Andersen 28 yard field goal,0,3
1,3.0,Patriots,Stephen Starring 24 yard pass from Tony Eason (Tony Franklin kick),7,3
2,3.0,Saints,Rueben Mayes 5 yard rush (Morten Andersen kick),7,10
3,4.0,Saints,Morten Andersen 38 yard field goal,7,13
4,4.0,Patriots,Mosi Tatupu 17 yard blocked punt return (Tony Franklin kick),14,13
5,4.0,Patriots,Brent Williams 21 yard defensive fumble return (Tony Franklin kick),21,13
6,4.0,Saints,Eugene Goodlow 10 yard pass from Dave Wilson (Morten Andersen kick),21,20
