,Quarter,Tm,Detail,PIT,NOR
0,2.0,Steelers,Gary Anderson 29 yard field goal,3,0
1,3.0,Saints,Morten Andersen 50 yard field goal,3,3
2,4.0,Saints,Morten Andersen 43 yard field goal,3,6
3,4.0,Steelers,Gary Anderson 42 yard field goal,6,6
4,4.0,Steelers,Gary Anderson 43 yard field goal,9,6
