,Quarter,Time,Tm,Detail,NYG,PHI
0,1.0,8:49,Eagles,Chad Lewis 5 yard pass from Donovan McNabb (David Akers kick),0,7
1,3.0,12:34,Giants,Amani Toomer 60 yard pass from Kerry Collins (Morten Andersen kick),7,7
2,3.0,2:38,Giants,Morten Andersen 25 yard field goal,10,7
3,4.0,14:11,Eagles,James Thrash 57 yard pass from Donovan McNabb (David Akers kick),10,14
4,4.0,8:44,Giants,Morten Andersen 32 yard field goal,13,14
5,4.0,2:43,Giants,Ron Dayne 16 yard rush (Tiki Barber run),21,14
6,4.0,1:49,Eagles,Chad Lewis 7 yard pass from Donovan McNabb (David Akers kick),21,21
7,4.0,0:07,Eagles,David Akers 35 yard field goal,21,24
