,Quarter,Tm,Detail,BAL,CHI
0,2.0,Colts,Roosevelt Leaks 1 yard rush (Toni Linhart kick),7,0
1,2.0,Colts,Glenn Doughty 4 yard pass from Bert Jones (Toni Linhart kick),14,0
2,2.0,Colts,Don McCauley 1 yard rush (Toni Linhart kick),21,0
3,3.0,Colts,Glenn Doughty 7 yard pass from Bert Jones (Toni Linhart kick),28,0
4,3.0,Bears,Bobby Douglass 1 yard rush (Bob Thomas kick),28,7
5,4.0,Colts,Don McCauley 3 yard rush (Toni Linhart kick),35,7
