,Quarter,Tm,Detail,BAL,ATL
0,1.0,Colts,Tony Lorick 1 yard rush (Lou Michaels kick),7,0
1,1.0,Colts,Willie Richardson 25 yard pass from Johnny Unitas (Lou Michaels kick),14,0
2,1.0,Colts,John Mackey 11 yard pass from Johnny Unitas (Lou Michaels kick),21,0
3,2.0,Colts,Tom Matte 64 yard pass from Johnny Unitas (Lou Michaels kick),28,0
4,2.0,Colts,Tom Matte 9 yard rush (Lou Michaels kick),35,0
5,3.0,Falcons,Tommy McDonald 75 yard pass from Tom Moore (Wade Traynham kick),35,7
6,3.0,Colts,Willie Richardson 5 yard pass from Johnny Unitas (Lou Michaels kick),42,7
7,4.0,Colts,Tom Matte 3 yard rush (Lou Michaels kick),49,7
