,Quarter,Time,Tm,Detail,JAX,SEA
0,1.0,8:04,Seahawks,Zach Miller 1 yard pass from Russell Wilson (Stephen Hauschka kick),0,7
1,2.0,14:26,Seahawks,Zach Miller 4 yard pass from Russell Wilson (Stephen Hauschka kick),0,14
2,2.0,9:40,Seahawks,Stephen Hauschka 21 yard field goal,0,17
3,2.0,0:10,Seahawks,Sidney Rice 11 yard pass from Russell Wilson (Stephen Hauschka kick),0,24
4,3.0,11:41,Seahawks,Sidney Rice 23 yard pass from Russell Wilson (Stephen Hauschka kick),0,31
5,3.0,6:20,Jaguars,Maurice Jones-Drew 2 yard rush (Josh Scobee kick),7,31
6,3.0,1:28,Seahawks,Doug Baldwin 35 yard pass from Tarvaris Jackson (Stephen Hauschka kick),7,38
7,3.0,0:06,Jaguars,Josh Scobee 33 yard field goal,10,38
8,4.0,9:06,Jaguars,Jordan Todman 3 yard rush (Josh Scobee kick),17,38
9,4.0,6:32,Seahawks,Tarvaris Jackson 5 yard rush (Stephen Hauschka kick),17,45
