,Quarter,Tm,Detail,NYG,ATL
0,1.0,Falcons,Harmon Wages 2 yard rush (Bill Bell kick),0,7
1,1.0,Giants,Bob Tucker 10 yard pass from Fran Tarkenton (Pete Gogolak kick),7,7
2,2.0,Falcons,Bill Bell 17 yard field goal,7,10
3,3.0,Falcons,Jim Mitchell 23 yard pass from Bob Berry (Bill Bell kick),7,17
4,3.0,Giants,Bobby Duhon 4 yard rush (Pete Gogolak kick),14,17
5,4.0,Giants,Fran Tarkenton 2 yard rush (Pete Gogolak kick),21,17
