,Quarter,Time,Tm,Detail,OAK,SDG
0,1.0,2:27,Raiders,Sebastian Janikowski 20 yard field goal,3,0
1,2.0,10:49,Chargers,Steve Christie 29 yard field goal,3,3
2,3.0,5:45,Raiders,Jerry Rice 40 yard pass from Rich Gannon (Sebastian Janikowski kick),10,3
3,4.0,13:16,Chargers,Steve Christie 31 yard field goal,10,6
4,4.0,1:07,Raiders,Sebastian Janikowski 31 yard field goal,13,6
