,Quarter,Tm,Detail,DET,WAS
0,1.0,Redskins,Joe Washington 7 yard rush (Mark Moseley kick),0,7
1,1.0,Redskins,Mark Moseley 21 yard field goal,0,10
2,1.0,Lions,Freddie Scott 36 yard pass from Eric Hipple (Eddie Murray kick),7,10
3,2.0,Lions,Eric Hipple 2 yard rush (Eddie Murray kick),14,10
4,2.0,Redskins,Mark Moseley 33 yard field goal,14,13
5,2.0,Lions,Billy Sims 1 yard rush (Eddie Murray kick),21,13
6,2.0,Redskins,Art Monk 6 yard pass from Joe Theismann (Mark Moseley kick),21,20
7,3.0,Redskins,Mark Moseley 28 yard field goal,21,23
8,4.0,Lions,Billy Sims 13 yard rush (Eddie Murray kick),28,23
9,4.0,Redskins,Joe Washington 12 yard rush (Mark Moseley kick),28,30
10,4.0,Lions,Eddie Murray 50 yard field goal,31,30
11,4.0,Redskins,Mark Moseley 44 yard field goal,31,33
