,Quarter,Tm,Detail,DAL,GNB
0,1.0,Cowboys,Tony Dorsett 1 yard rush (Rafael Septien kick),7,0
1,2.0,Packers,Steve Atkins 6 yard rush (Chester Marcol kick),7,7
2,2.0,Cowboys,Robert Newhouse 1 yard rush (Rafael Septien kick),14,7
3,3.0,Cowboys,Doug Cosbie 5 yard pass from Danny White (Rafael Septien kick),21,7
4,4.0,Cowboys,Drew Pearson 20 yard pass from Danny White (Rafael Septien kick),28,7
