,Quarter,Tm,Detail,GNB,TAM
0,1,Packers,Jan Stenerud 35 yard field goal,3,0
1,2,Buccaneers,Bill Capece 22 yard field goal,3,3
2,3,Packers,Jan Stenerud 32 yard field goal,6,3
3,4,Buccaneers,Adger Armstrong 4 yard pass from Jack Thompson,6,9
4,4,Packers,Jan Stenerud 23 yard field goal,9,9
5,OT,Packers,Jan Stenerud 23 yard field goal,12,9
