,Quarter,Tm,Detail,SEA,GNB
0,1.0,Seahawks,Jeff Chadwick 8 yard pass from Dave Krieg (Norm Johnson kick),7,0
1,2.0,Seahawks,Norm Johnson 37 yard field goal,10,0
2,2.0,Seahawks,Derrick Fenner 14 yard rush (Norm Johnson kick),17,0
3,3.0,Seahawks,Norm Johnson 22 yard field goal,20,0
4,4.0,Packers,Perry Kemp 13 yard pass from Blair Kiel (Chris Jacke kick),20,7
5,4.0,Packers,Ed West 1 yard pass from Blair Kiel (Chris Jacke kick),20,14
