,Quarter,Time,Tm,Detail,CIN,GNB
0,1.0,,Packers,Chris Jacke 41 yard field goal,0,3
1,2.0,,Bengals,Doug Pelfrey 28 yard field goal,3,3
2,2.0,,Bengals,Carl Pickens 5 yard pass from Jeff Blake (Doug Pelfrey kick),10,3
3,2.0,,Packers,Mark Ingram 13 yard pass from Brett Favre (Chris Jacke kick),10,10
4,3.0,,Packers,Edgar Bennett 14 yard pass from Brett Favre (Chris Jacke kick),10,17
5,4.0,,Packers,Mark Chmura 8 yard pass from Brett Favre (Chris Jacke kick),10,24
