,Quarter,Time,Tm,Detail,BUF,ARI
0,1,13:50,Cardinals,Jay Feely 49 yard field goal,0,3
1,1,8:36,Bills,"Safety, Kevin Kolb sacked by Chris Kelsay in the end zone.",2,3
2,1,3:35,Bills,C.J. Spiller 10 yard rush (Rian Lindell kick),9,3
3,2,4:47,Cardinals,Larry Fitzgerald 9 yard pass from Kevin Kolb (Jay Feely kick),9,10
4,3,3:12,Cardinals,Jay Feely 49 yard field goal,9,13
5,3,0:27,Bills,Fred Jackson 1 yard rush (Rian Lindell kick),16,13
6,4,1:09,Cardinals,Jay Feely 61 yard field goal,16,16
7,OT,11:10,Bills,Rian Lindell 25 yard field goal,19,16
