,Quarter,Tm,Detail,NYG,STL
0,1.0,Giants,Don Chandler 16 yard field goal,3,0
1,2.0,Giants,Frank Gifford 41 yard pass from Y.A. Tittle (Don Chandler kick),10,0
2,2.0,Cardinals,Joe Childress 13 yard pass from Charley Johnson (Jim Bakken kick),10,7
3,2.0,Giants,Aaron Thomas 28 yard pass from Y.A. Tittle (Don Chandler kick),17,7
4,2.0,Giants,Aaron Thomas 1 yard pass from Y.A. Tittle (Don Chandler kick),24,7
5,3.0,Giants,Del Shofner 40 yard pass from Y.A. Tittle (Don Chandler kick),31,7
6,3.0,Cardinals,Bobby Joe Conrad 13 yard pass from Charley Johnson (Jim Bakken kick),31,14
7,4.0,Cardinals,Bill Triplett 2 yard rush (Jim Bakken kick),31,21
8,4.0,Giants,Phil King 1 yard rush (Don Chandler kick),38,21
