,Quarter,Tm,Detail,GNB,KAN
0,1.0,Packers,Paul Ott Carruth 6 yard rush (Max Zendejas kick),7,0
1,3.0,Chiefs,Nick Lowery 34 yard field goal,7,3
2,3.0,Packers,Frankie Neal 13 yard pass from Randy Wright (Max Zendejas kick),14,3
3,3.0,Packers,Frankie Neal 26 yard pass from Randy Wright,20,3
4,4.0,Packers,Max Zendejas 40 yard field goal,23,3
