,Quarter,Tm,Detail,ATL,TAM
0,1.0,Falcons,Michael Haynes 8 yard pass from Wade Wilson (Norm Johnson kick),7,0
1,2.0,Buccaneers,Reggie Cobb 1 yard rush (Eddie Murray kick),7,7
2,2.0,Falcons,Andre Rison 20 yard pass from Wade Wilson (Norm Johnson kick),14,7
3,3.0,Falcons,Mike Pritchard 38 yard pass from Wade Wilson (Norm Johnson kick),21,7
4,3.0,Falcons,Michael Haynes 60 yard pass from Wade Wilson (Norm Johnson kick),28,7
5,4.0,Falcons,Deion Sanders 37 yard pass from Wade Wilson (Norm Johnson kick),35,7
