,Quarter,Tm,Detail,DAL,SEA
0,1.0,Cowboys,Tony Dorsett 8 yard rush (Rafael Septien kick),7,0
1,2.0,Cowboys,Tony Dorsett 7 yard rush (Rafael Septien kick),14,0
2,2.0,Seahawks,Norm Johnson 54 yard field goal,14,3
3,3.0,Cowboys,Doug Donley 35 yard pass from Danny White (Rafael Septien kick),21,3
4,4.0,Cowboys,Butch Johnson 16 yard pass from Danny White (Rafael Septien kick),28,3
5,4.0,Seahawks,Curt Warner 2 yard rush (Norm Johnson kick),28,10
6,4.0,Cowboys,Timmy Newsome 15 yard pass from Gary Hogeboom (Rafael Septien kick),35,10
