,Quarter,Time,Tm,Detail,BAL,CLE
0,1.0,7:01,Browns,Brian Robiskie 29 yard pass from Mohamed Massaquoi (Phil Dawson kick),0,7
1,2.0,13:35,Ravens,Billy Cundiff 27 yard field goal,3,7
2,2.0,11:47,Ravens,T.J. Houshmandzadeh 15 yard pass from Joe Flacco (Billy Cundiff kick),10,7
3,2.0,4:06,Ravens,Billy Cundiff 40 yard field goal,13,7
4,2.0,0:03,Browns,Phil Dawson 30 yard field goal,13,10
5,3.0,13:30,Ravens,Derrick Mason 22 yard pass from Joe Flacco (Billy Cundiff kick),20,10
