,Quarter,Time,Tm,Detail,IND,KAN
0,2.0,2:22,Colts,Marcus Pollard 6 yard pass from Peyton Manning (Mike Vanderjagt kick),7,0
1,2.0,0:00,Chiefs,Todd Peterson 48 yard field goal,7,3
2,3.0,9:02,Colts,Mike Vanderjagt 50 yard field goal,10,3
3,3.0,5:05,Chiefs,Todd Peterson 22 yard field goal,10,6
4,3.0,4:50,Colts,Dominic Rhodes 88 yard kickoff return (Mike Vanderjagt kick),17,6
5,3.0,3:01,Chiefs,Tony Gonzalez 35 yard pass from Trent Green (Trent Green run),17,14
6,4.0,13:00,Colts,Mike Vanderjagt 42 yard field goal,20,14
7,4.0,8:21,Colts,Marvin Harrison 47 yard pass from Peyton Manning (Edgerrin James pass from Peyton Manning),28,14
8,4.0,4:45,Chiefs,Larry Parker 11 yard pass from Trent Green (Todd Peterson kick),28,21
9,4.0,1:02,Colts,Dominic Rhodes 77 yard rush (Mike Vanderjagt kick),35,21
10,4.0,0:04,Chiefs,Larry Parker 5 yard pass from Trent Green (Todd Peterson kick),35,28
