,Quarter,Tm,Detail,KAN,NYG
0,1,Giants,Hinkey Haines 1 yard rush,0,6
1,2,Cowboys,Al Bloodgood 30 yard field goal,3,6
2,3,Giants,Dutch Hendrian 25 yard field goal,3,9
