,Quarter,Time,Tm,Detail,NYG,SDG
0,1.0,,Giants,Gary Brown 4 yard rush (Brad Daluiso kick),7,0
1,1.0,,Giants,Chris Calloway 25 yard pass from Danny Kanell (Brad Daluiso kick),14,0
2,2.0,,Giants,Charles Way 1 yard rush (Brad Daluiso kick),21,0
3,2.0,1:56,Chargers,John Carney 41 yard field goal,21,3
4,2.0,0:06,Chargers,John Carney 46 yard field goal,21,6
5,3.0,0:06,Chargers,John Carney 34 yard field goal,21,9
6,3.0,0:06,Giants,Percy Ellsworth 20 yard interception return (Brad Daluiso kick),28,9
7,3.0,0:06,Chargers,Charlie Jones 41 yard pass from Craig Whelihan (John Carney kick),28,16
8,4.0,0:06,Giants,Brad Daluiso 32 yard field goal,31,16
9,4.0,0:06,Giants,Brad Daluiso 19 yard field goal,34,16
