,Quarter,Tm,Detail,HOU,NWE
0,2.0,Oilers,Ken Burrough 71 yard pass from Dan Pastorini (Toni Fritsch kick),7,0
1,2.0,Oilers,Mike Barber 19 yard pass from Dan Pastorini (Toni Fritsch kick),14,0
2,2.0,Oilers,Mike Barber 13 yard pass from Dan Pastorini (Toni Fritsch kick),21,0
3,3.0,Oilers,Toni Fritsch 30 yard field goal,24,0
4,3.0,Patriots,Harold Jackson 24 yard pass from Andy Johnson (David Posey kick),24,7
5,4.0,Patriots,Russ Francis 24 yard pass from Tom Owen (David Posey kick),24,14
6,4.0,Oilers,Earl Campbell 2 yard rush (Toni Fritsch kick),31,14
