,Quarter,Tm,Detail,IND,HOU
0,1.0,Oilers,Earl Campbell 2 yard rush (Florian Kempf kick),0,7
1,2.0,Colts,Mike Pagel 1 yard rush (Dean Biasucci kick),7,7
2,2.0,Oilers,Earl Campbell 15 yard rush (Florian Kempf kick),7,14
3,2.0,Colts,Curtis Dickey 15 yard rush (Dean Biasucci kick),14,14
4,2.0,Colts,Ray Butler 31 yard pass from Mike Pagel (Dean Biasucci kick),21,14
5,3.0,Colts,Ray Butler 14 yard pass from Mike Pagel (Dean Biasucci kick),28,14
6,4.0,Oilers,Earl Campbell 1 yard rush (Florian Kempf kick),28,21
7,4.0,Colts,Tracy Porter 33 yard pass from Mike Pagel (Dean Biasucci kick),35,21
