,Quarter,Tm,Detail,STL,PIT
0,1.0,Cardinals,Jerry Norton 47 yard interception return,6,0
1,1.0,Cardinals,Sonny Randle 3 yard pass from Sam Etcheverry (Gerry Perry kick),13,0
2,2.0,Steelers,Lou Michaels 18 yard field goal,13,3
3,2.0,Steelers,Lou Michaels 36 yard field goal,13,6
4,2.0,Steelers,Bob Schnelker 11 yard pass from Bobby Layne (Lou Michaels kick),13,13
5,3.0,Steelers,Johnny Sample 55 yard punt return (Lou Michaels kick),13,20
6,3.0,Steelers,John Henry Johnson 2 yard rush (Lou Michaels kick),13,27
7,4.0,Cardinals,John David Crow 61 yard pass from Ralph Guglielmi (Bobby Joe Conrad kick),20,27
8,4.0,Cardinals,Jerry Norton 37 yard interception return (Bobby Joe Conrad kick),27,27
9,4.0,Steelers,Lou Michaels 18 yard field goal,27,30
