,Quarter,Time,Tm,Detail,DAL,SFO
0,1,,49ers,Jeff Wilkins 28 yard field goal,0,3
1,1,,49ers,Iheanyi Uwaezuoke 29 yard pass from Steve Young (Jeff Wilkins kick),0,10
2,2,,Cowboys,Troy Aikman 3 yard rush (Chris Boniol kick),7,10
3,4,5:11,Cowboys,Chris Boniol 26 yard field goal,10,10
4,4,5:11,49ers,Terry Kirby 27 yard rush (Jeff Wilkins kick),10,17
5,4,5:11,Cowboys,Eric Bjornson 6 yard pass from Troy Aikman (Chris Boniol kick),17,17
6,OT,5:11,Cowboys,Chris Boniol 29 yard field goal,20,17
