,Quarter,Tm,Detail,PHI,IND
0,1.0,Eagles,Roger Ruzek 21 yard field goal,3,0
1,1.0,Eagles,Heath Sherman 1 yard rush (Roger Ruzek kick),10,0
2,1.0,Colts,Dean Biasucci 39 yard field goal,10,3
3,3.0,Eagles,Calvin Williams 14 yard pass from Bubby Brister (Roger Ruzek kick),17,3
4,4.0,Eagles,Roger Ruzek 25 yard field goal,20,3
5,4.0,Colts,Reggie Langhorne 24 yard pass from Jeff George (Dean Biasucci kick),20,10
