,Quarter,Tm,Detail,MIA,BUF
0,1.0,Bills,Carl Byrum 10 yard pass from Jim Kelly (Scott Norwood kick),0,7
1,2.0,Dolphins,Ron Davenport 19 yard pass from Dan Marino (Fuad Reveiz kick),7,7
2,2.0,Bills,Robb Riddick 11 yard rush (Scott Norwood kick),7,14
3,2.0,Bills,Jerry Butler 25 yard pass from Jim Kelly (Scott Norwood kick),7,21
4,2.0,Dolphins,Fuad Reveiz 52 yard field goal,10,21
5,3.0,Dolphins,Fuad Reveiz 36 yard field goal,13,21
6,3.0,Dolphins,Mark Duper 27 yard pass from Dan Marino (Fuad Reveiz kick),20,21
7,3.0,Bills,Scott Norwood 39 yard field goal,20,24
8,4.0,Dolphins,Dan Johnson 4 yard pass from Dan Marino (Fuad Reveiz kick),27,24
9,4.0,Dolphins,Lorenzo Hampton 2 yard pass from Dan Marino (Fuad Reveiz kick),34,24
