,Quarter,Time,Tm,Detail,SFO,CAR
0,1.0,,49ers,Terrell Owens 8 yard pass from Steve Young (Gary Anderson kick),7,0
1,2.0,,49ers,Steve Young 2 yard rush (Gary Anderson kick),14,0
2,2.0,,49ers,Gary Anderson 25 yard field goal,17,0
3,2.0,,Panthers,Rae Carruth 17 yard pass from Kerry Collins (John Kasay kick),17,7
4,2.0,,49ers,Gary Anderson 48 yard field goal,20,7
5,3.0,,49ers,Garrison Hearst 3 yard rush (Gary Anderson kick),27,7
6,4.0,,Panthers,Rocket Ismail 8 yard pass from Steve Beuerlein (John Kasay kick),27,14
7,4.0,,49ers,Terry Kirby 3 yard rush (Gary Anderson kick),34,14
8,4.0,,Panthers,Mark Carrier 20 yard pass from Steve Beuerlein (John Kasay kick),34,21
