,Quarter,Tm,Detail,ATL,CIN
0,1.0,Falcons,Bill Bell 23 yard field goal,3,0
1,1.0,Bengals,Horst Muhlmann 24 yard field goal,3,3
2,4.0,Bengals,Horst Muhlmann 51 yard field goal,3,6
3,4.0,Falcons,Art Malone 46 yard pass from Dick Shiner,9,6
