,Quarter,Time,Tm,Detail,NYJ,MIA
0,2.0,,Dolphins,Bernie Parmalee 24 yard rush (Pete Stoyanovich kick),0,7
1,2.0,,Dolphins,Irving Fryar 4 yard pass from Dan Marino (Pete Stoyanovich kick),0,14
2,2.0,12:31,Jets,Matt Brock 3 yard defensive fumble return (Nick Lowery kick),7,14
3,2.0,12:31,Jets,Charles Wilson 6 yard pass from Boomer Esiason (Nick Lowery kick),14,14
4,2.0,12:31,Dolphins,Keith Byars 1 yard pass from Dan Marino (Pete Stoyanovich kick),14,21
5,3.0,12:31,Dolphins,Bernie Parmalee 4 yard rush (Pete Stoyanovich kick),14,28
6,3.0,12:31,Dolphins,Troy Vincent 69 yard interception return (Pete Stoyanovich kick),14,35
7,3.0,12:31,Dolphins,Irving Fryar 50 yard pass from Dan Marino (Pete Stoyanovich kick),14,42
8,4.0,12:31,Dolphins,Pete Stoyanovich 29 yard field goal,14,45
9,4.0,12:31,Dolphins,Irving Spikes 17 yard rush (Pete Stoyanovich kick),14,52
