,Quarter,Tm,Detail,NWE,PIT
0,1.0,Patriots,Ben Coates 3 yard pass from Drew Bledsoe (Scott Sisson kick),7,0
1,1.0,Patriots,Leonard Russell 3 yard rush (Scott Sisson kick),14,0
2,2.0,Steelers,Merril Hoge 5 yard pass from Neil O'Donnell (Gary Anderson kick),14,7
3,2.0,Steelers,Gary Anderson 35 yard field goal,14,10
4,2.0,Steelers,Merril Hoge 1 yard pass from Neil O'Donnell (Gary Anderson kick),14,17
