,Quarter,Tm,Detail,SFO,DAL
0,1.0,Cowboys,Ken Willis 23 yard field goal,0,3
1,2.0,49ers,Tom Rathman 1 yard rush (Mike Cofer kick),7,3
2,2.0,49ers,Jerry Rice 7 yard pass from Joe Montana (Mike Cofer kick),14,3
3,2.0,Cowboys,Ken Willis 37 yard field goal,14,6
4,2.0,49ers,Mike Cofer 42 yard field goal,17,6
5,4.0,49ers,Joe Montana 4 yard rush (Mike Cofer kick),24,6
