,Quarter,Tm,Detail,SDG,BAL
0,1.0,Chargers,Mike Garrett 1 yard rush (Dennis Partee kick),7,0
1,2.0,Colts,Jim O'Brien 22 yard field goal,7,3
2,2.0,Chargers,Dennis Partee 51 yard field goal,10,3
3,3.0,Colts,Don Nottingham 13 yard rush (Jim O'Brien kick),10,10
4,3.0,Colts,Jim O'Brien 20 yard field goal,10,13
5,3.0,Colts,Don Nottingham 3 yard rush (Jim O'Brien kick),10,20
6,4.0,Chargers,Mike Garrett 2 yard rush (Dennis Partee kick),17,20
7,4.0,Chargers,Dennis Partee 40 yard field goal,20,20
8,4.0,Chargers,Dennis Partee 28 yard field goal,23,20
