,Quarter,Tm,Detail,GNB,BKN
0,1.0,Packers,Don Hutson 69 yard pass from Arnie Herber (Tiny Engebretsen kick),7,0
1,1.0,Packers,Bud Svendsen 37 yard fumble return (Tiny Engebretsen kick),14,0
2,2.0,Packers,Harry Jacunski 19 yard pass from Cecil Isbell (Tiny Engebretsen kick),21,0
3,3.0,Packers,Cecil Isbell 1 yard rush (Cecil Isbell kick),28,0
