,Quarter,Tm,Detail,PHI,DET
0,1.0,Lions,Bob Westfall 31 yard pass from Chuck Fenenbock (Bill Callihan kick),0,7
1,1.0,Eagles,Steve Van Buren 69 yard rush (Roy Zimmerman kick),7,7
2,2.0,Eagles,Roy Zimmerman 48 yard field goal,10,7
3,2.0,Lions,Jack Matheson 10 yard blocked punt return (Bill Callihan kick),10,14
4,3.0,Eagles,Steve Van Buren 26 yard rush (Roy Zimmerman kick),17,14
5,3.0,Lions,Bob Westfall 43 yard pass from Chuck Fenenbock (Bill Callihan kick),17,21
6,4.0,Lions,John Greene 4 yard pass from Cotton Price (Bill Callihan kick),17,28
7,4.0,Eagles,Jack Ferrante 4 yard pass from Roy Zimmerman (Roy Zimmerman kick),24,28
