,Quarter,Tm,Detail,NOR,MIN
0,1.0,Vikings,Donald Igwebuike 30 yard field goal,0,3
1,2.0,Vikings,"Safety, Dusbabek tackled Hilliard in end zone",0,5
2,2.0,Vikings,Donald Igwebuike 48 yard field goal,0,8
3,2.0,Saints,Morten Andersen 37 yard field goal,3,8
4,2.0,Vikings,Anthony Carter 15 yard pass from Wade Wilson (Donald Igwebuike kick),3,15
5,2.0,Vikings,Donald Igwebuike 38 yard field goal,3,18
6,3.0,Vikings,Herschel Walker 5 yard pass from Wade Wilson (Donald Igwebuike kick),3,25
7,3.0,Vikings,Steve Jordan 15 yard pass from Wade Wilson (Donald Igwebuike kick),3,32
