,Quarter,Tm,Detail,RAM,GNB
0,1.0,Rams,Wendell Tyler 4 yard rush (Mike Lansford kick),7,0
1,1.0,Rams,Mike Lansford 32 yard field goal,10,0
2,2.0,Rams,Mike Barber 8 yard pass from Bert Jones (Mike Lansford kick),17,0
3,2.0,Rams,Mike Lansford 29 yard field goal,20,0
4,2.0,Rams,Mike Lansford 28 yard field goal,23,0
5,3.0,Packers,Paul Coffman 4 yard pass from Lynn Dickey (Jan Stenerud kick),23,7
6,3.0,Packers,Eddie Lee Ivery 3 yard rush (Jan Stenerud kick),23,14
7,4.0,Packers,James Lofton 15 yard pass from Lynn Dickey (Jan Stenerud kick),23,21
8,4.0,Packers,Paul Coffman 10 yard pass from Lynn Dickey (Jan Stenerud kick),23,28
9,4.0,Packers,Eddie Lee Ivery 27 yard rush (Jan Stenerud kick),23,35
