,Quarter,Tm,Detail,SEA,DET
0,1.0,Seahawks,Kelvin Martin 6 yard pass from Rick Mirer (John Kasay kick),7,0
1,2.0,Lions,Herman Moore 13 yard pass from Rodney Peete (Jason Hanson kick),7,7
2,2.0,Lions,Herman Moore 11 yard pass from Rodney Peete (Jason Hanson kick),7,14
3,3.0,Seahawks,John Kasay 19 yard field goal,10,14
4,3.0,Lions,Mel Gray 95 yard kickoff return (Jason Hanson kick),10,21
5,3.0,Lions,Jason Hanson 34 yard field goal,10,24
6,3.0,Lions,Jason Hanson 32 yard field goal,10,27
7,4.0,Lions,Jason Hanson 35 yard field goal,10,30
