,Quarter,Time,Tm,Detail,ARI,LAR
0,1.0,9:17,Rams,Greg Zuerlein 47 yard field goal,0,3
1,1.0,4:00,Cardinals,Dan Arnold 23 yard pass from Kyler Murray (Zane Gonzalez kick),7,3
2,2.0,10:59,Rams,Malcolm Brown 3 yard rush (Greg Zuerlein kick),7,10
3,2.0,3:55,Rams,Cooper Kupp 6 yard pass from Jared Goff (Greg Zuerlein kick),7,17
4,2.0,0:07,Cardinals,Zane Gonzalez 31 yard field goal,10,17
5,3.0,4:47,Cardinals,Damiere Byrd 3 yard pass from Kyler Murray (Zane Gonzalez kick),17,17
6,4.0,13:37,Rams,Tyler Higbee 4 yard pass from Jared Goff (Greg Zuerlein kick),17,24
7,4.0,7:58,Rams,Robert Woods 11 yard pass from Jared Goff (Greg Zuerlein kick),17,31
8,4.0,3:59,Cardinals,Kenyan Drake 1 yard rush (Zane Gonzalez kick),24,31
