,Quarter,Time,Tm,Detail,NOR,BUF
0,1.0,10:04,Saints,Lynell Hamilton 1 yard rush (John Carney kick),7,0
1,2.0,14:48,Bills,Ryan Denney 25 yard pass from Brian Moorman (Rian Lindell kick),7,7
2,2.0,4:17,Saints,John Carney 27 yard field goal,10,7
3,4.0,9:45,Saints,Pierre Thomas 34 yard rush (John Carney kick),17,7
4,4.0,3:21,Saints,John Carney 35 yard field goal,20,7
5,4.0,2:03,Saints,Pierre Thomas 19 yard rush (John Carney kick),27,7
