,Quarter,Tm,Detail,POT,PRV
0,1,Steam Roller,Wildcat Wilson unknown yard rush,0,6
1,2,Steam Roller,Curly Oden unknown yard pass from Wildcat Wilson (extra point pass successful),0,13
2,4,Maroons,Will Norman unknown yard pass from Tony Latone,6,13
