,Quarter,Tm,Detail,NOR,NWE
0,2.0,Patriots,Al Chandler 12 yard pass from Steve Grogan,0,6
1,2.0,Patriots,Steve Grogan 11 yard rush (John Smith kick),0,13
2,2.0,Saints,Rich Szaro 50 yard field goal,3,13
3,4.0,Saints,Rich Szaro 29 yard field goal,6,13
4,4.0,Patriots,Steve Grogan 10 yard rush (John Smith kick),6,20
5,4.0,Patriots,Ike Forte 6 yard pass from Steve Grogan (John Smith kick),6,27
