,Quarter,Tm,Detail,IND,MIN
0,2.0,Vikings,Chuck Nelson 25 yard field goal,0,3
1,2.0,Vikings,Chuck Nelson 26 yard field goal,0,6
2,3.0,Vikings,Chuck Nelson 30 yard field goal,0,9
3,4.0,Colts,Dean Biasucci 42 yard field goal,3,9
4,4.0,Vikings,Chuck Nelson 49 yard field goal,3,12
