,Quarter,Tm,Detail,NOR,BUF
0,1.0,Bills,Jerry Butler 15 yard pass from Joe Ferguson (Joe Danelo kick),0,7
1,2.0,Bills,Tony Hunter 40 yard pass from Joe Ferguson (Joe Danelo kick),0,14
2,2.0,Bills,Mike Mosley 22 yard pass from Joe Ferguson,0,20
3,2.0,Saints,John Tice 12 yard pass from Dave Wilson (Morten Andersen kick),7,20
4,3.0,Bills,Mike Mosley 8 yard pass from Joe Ferguson (Joe Danelo kick),7,27
5,4.0,Saints,Hoby Brenner 2 yard pass from Dave Wilson (Morten Andersen kick),14,27
6,4.0,Saints,Tyrone Young 5 yard pass from Dave Wilson (Morten Andersen kick),21,27
