,Quarter,Tm,Detail,PIT,DEN
0,1.0,Broncos,Rob Lytle 1 yard rush (Jim Turner kick),0,7
1,1.0,Broncos,Rick Upchurch 87 yard punt return (Jim Turner kick),0,14
2,2.0,Broncos,Haven Moses 20 yard pass from Craig Morton (Jim Turner kick),0,21
3,4.0,Steelers,John Stallworth 4 yard pass from Terry Bradshaw (Roy Gerela kick),7,21
