,Quarter,Tm,Detail,PIT,NWE
0,1.0,Patriots,Mack Herron 17 yard pass from Jim Plunkett (John Smith kick),0,7
1,2.0,Steelers,Roy Gerela 40 yard field goal,3,7
2,2.0,Steelers,Franco Harris 2 yard rush,9,7
3,2.0,Steelers,Roy Gerela 27 yard field goal,12,7
4,2.0,Patriots,John Smith 20 yard field goal,12,10
5,3.0,Steelers,Lynn Swann 7 yard pass from Terry Bradshaw (Roy Gerela kick),19,10
6,4.0,Steelers,"Safety, Greenwood tackled Plunkett in end zone",21,10
7,4.0,Patriots,Mack Herron 5 yard rush (John Smith kick),21,17
