,Quarter,Tm,Detail,NOR,SFO
0,1.0,49ers,Freddie Solomon 17 yard pass from Steve DeBerg (Ray Wersching kick),0,7
1,2.0,Saints,Tony Galbreath 1 yard rush,6,7
2,2.0,Saints,Wes Chandler 5 yard pass from Archie Manning (Garo Yepremian kick),13,7
3,2.0,49ers,Freddie Solomon 25 yard pass from Steve DeBerg (Ray Wersching kick),13,14
4,3.0,Saints,Larry Hardy 3 yard pass from Archie Manning (Garo Yepremian kick),20,14
5,3.0,Saints,Tony Galbreath 1 yard rush (Garo Yepremian kick),27,14
6,4.0,49ers,Paul Hofer 2 yard rush (Ray Wersching kick),27,21
7,4.0,Saints,Garo Yepremian 18 yard field goal,30,21
