,Quarter,Tm,Detail,CLE,PRV
0,3,Bulldogs,Dave Noble 15 yard pass from Al Michaels (Doc Elliott kick),7,0
1,4,Steam Roller,Jim Laird unknown yard rush (Red Maloney kick),7,7
